CategoryCode;CategoryName;CPU;ManufacturerCode;ManufacturerName;Model;OS;Price;RAM;Screen;Storage
4;Notebook;Intel Core i7 7500U 2.7GHz;6;HP;15-bs053od (i7-7500U/6GB/1TB/W10);Windows 10;24240,70359;6;15.6 col - 1366x768;1TB HDD
2;Gaming;Intel Core i7 7700HQ 2.8GHz;3;Asus;Rog GL753VE-DS74;Windows 10;73224,5085;16;17.3 col - Full HD 1920x1080;256GB SSD +  1TB HDD
1;2 in 1 Convertible;Intel Core i7 7500U 2.7GHz;5;Dell;Inspiron 7579;Windows 10;54384,5835;12;15.6 col - IPS Panel Full HD / Touchscreen 1920x1080;512GB SSD
4;Notebook;Intel Core i5 6200U 2.3GHz;12;Toshiba;Portege Z30-C-1CV;Windows 7;50030,4675;4;13.3 col - Full HD 1920x1080;128GB SSD
4;Notebook;AMD A12-Series 9720P 3.6GHz;7;Lenovo;IdeaPad 320-15ABR;Windows 10;22984,7085;6;15.6 col - Full HD 1920x1080;256GB SSD
4;Notebook;Intel Core i5 6200U 2.3GHz;5;Fujitsu;LifeBook A556;Windows 10;27171,3585;4;15.6 col - 1366x768;256GB SSD
4;Notebook;Intel Core i5 6200U 2.3GHz;11;Toshiba;Tecra A40-C-1KF;Windows 10;38307,8475;4;14.0 col - 1366x768;500GB HDD
4;Notebook;Intel Core i5 7200U 2.5GHz;4;Dell;Inspiron 3567;Windows 10;25078,0335;4;15.6 col - 1366x768;500GB HDD
4;Notebook;Intel Core i5 7200U 2.5GHz;6;HP;Probook 450;Windows 10;33744,399;8;15.6 col - Full HD 1920x1080;1TB HDD
2;Gaming;Intel Core i7 7700HQ 2.8GHz;7;Lenovo;Legion Y520-15IKBN;Windows 10;49779,2685;8;15.6 col - IPS Panel Full HD 1920x1080;128GB SSD +  1TB HDD
4;Notebook;Intel Core i7 7500U 2.7GHz;4;Dell;Inspiron 5567;Windows 10;31358,0085;8;15.6 col - 1366x768;1TB HDD
4;Notebook;Intel Core i5 7200U 2.5GHz;4;Dell;Latitude 5480;Windows 10;46848,6135;8;14.0 col - Full HD 1920x1080;128GB SSD
3;Netbook;Intel Core M 6Y75 1.2GHz;6;HP;EliteBook Folio;Windows 10;79881,282;8;12.5 col - Full HD 1920x1080;512GB SSD
4;Notebook;Intel Core i3 6006U 2GHz;6;HP;15-bs005nv (i3-6006U/4GB/1TB;Windows 10;20891,3835;4;15.6 col - Full HD 1920x1080;128GB SSD +  1TB HDD
4;Notebook;Intel Celeron Dual Core N3350 1.1GHz;7;Lenovo;V110-15IAP (N3350/4GB/128GB/No;No OS ;11329,91223;4;15.6 col - 1366x768;128GB SSD
4;Notebook;Intel Core i5 6200U 2.3GHz;7;Lenovo;ThinkPad T560;Windows 10;56477,9085;8;15.6 col - Full HD 1920x1080;256GB SSD
1;2 in 1 Convertible;Intel Core i5 7200U 2.5GHz;4;Dell;Inspiron 5378;Windows 10;37219,3185;8;13.3 col - Full HD / Touchscreen 1920x1080;256GB SSD
4;Notebook;Intel Core i5 7200U 2.5GHz;3;Asus;ZenBook UX310UA-FB485T;Windows 10;48146,475;8;13.3 col - Quad HD+ 3200x1800;256GB SSD
5;Ultrabook;Intel Core i7 7500U 2.7GHz;6;HP;Spectre 13-V111dx;Windows 10;56477,9085;8;13.3 col - IPS Panel Full HD / Touchscreen 1920x1080;256GB SSD
4;Notebook;Intel Pentium Quad Core N4200 1.1GHz;1;Acer;Aspire ES1-533;Windows 10;15909,27;4;15.6 col - 1366x768;500GB HDD
2;Gaming;Intel Core i7 7700HQ 2.8GHz;3;Asus;Rog GL553VE-DS74;Windows 10;75317,8335;16;15.6 col - Full HD 1920x1080;256GB SSD +  1TB HDD
5;Ultrabook;Intel Core i7 7500U 2.7GHz;6;HP;EliteBook 840;Windows 10;87459,1185;8;14.0 col - Full HD 1920x1080;512GB SSD
2;Gaming;Intel Core i7 7700HQ 2.8GHz;1;Acer;Nitro 5;Windows 10;52751,79;8;15.6 col - IPS Panel Full HD 1920x1080;128GB SSD +  1TB HDD
4;Notebook;Intel Core i5 7200U 2.5GHz;6;HP;ENVY -;Windows 10;49779,2685;8;13.3 col - IPS Panel Full HD 1920x1080;256GB SSD
4;Notebook;Intel Core i3 7100U 2.4GHz;4;Dell;Vostro 3568;Windows 10;22900,9755;4;15.6 col - 1366x768;128GB SSD
4;Notebook;Intel Core i5 7200U 2.5GHz;6;HP;Probook 440;Windows 10;32614,0035;4;14.0 col - 1366x768;500GB HDD
4;Notebook;Intel Core i5 6200U 2.3GHz;11;Toshiba;Portege Z30-C-16H;Windows 10;50030,4675;4;13.3 col - Full HD 1920x1080;128GB SSD
4;Notebook;Intel Core i5 6300U 2.4GHz;6;HP;EliteBook 840;Windows 10;46052,73134;4;14.0 col - 1366x768;256GB SSD
4;Notebook;Intel Core i5 7200U 2.5GHz;6;HP;ProBook 640;Windows 10;50449,1325;4;14.0 col - Full HD 1920x1080;256GB SSD
5;Ultrabook;Intel Core i7 6600U 2.6GHz;6;HP;EliteBook 1040;Windows 7;60664,5585;8;14.0 col - Full HD 1920x1080;256GB SSD
4;Notebook;Intel Core i5 7200U 2.5GHz;6;HP;ProBook 440;Windows 10;43928,84379;8;14.0 col - Full HD 1920x1080;256GB SSD
4;Notebook;Intel Core i3 7100U 2.4GHz;6;HP;Probook 440;Windows 10;28636,686;4;14.0 col - 1366x768;500GB HDD
2;Gaming;Intel Core i5 7300HQ 2.5GHz;4;Dell;Inspiron 7567;Windows 10;39731,3085;8;15.6 col - Full HD 1920x1080;1TB Hybrid
5;Ultrabook;Intel Core i5 7200U 2.5GHz;6;HP;EliteBook 820;Windows 10;64432,5435;4;12.5 col - Full HD 1920x1080;500GB HDD
4;Notebook;Intel Core i5 7200U 2.5GHz;6;HP;Elitebook 840;Windows 10;66567,735;4;14.0 col - Full HD 1920x1080;256GB SSD
5;Ultrabook;Intel Core i7 6500U 2.5GHz;6;HP;EliteBook 840;Windows 10;79010,87747;8;14.0 col - Full HD 1920x1080;256GB SSD
4;Notebook;Intel Core i3 7100U 2.4GHz;6;HP;Probook 430;Windows 10;33493,2;4;13.3 col - 1366x768;500GB HDD
4;Notebook;Intel Core i5 6200U 2.3GHz;11;Toshiba;Portege A30-C-1CZ;Windows 10;50658,465;8;13.3 col - 1366x768;256GB SSD
4;Notebook;Intel Core i3 7100U 2.4GHz;6;HP;ProBook 450;Windows 10;32236,78634;4;15.6 col - 1366x768;256GB SSD
4;Notebook;Intel Core i7 6820HQ 2.7GHz;7;Lenovo;ThinkPad P70;Windows 7;124259,772;16;17.3 col - IPS Panel 4K Ultra HD 3840x2160;512GB SSD
4;Notebook;Intel Core i5 6200U 2.3GHz;11;Toshiba;Tecra Z40-C-12Z;Windows 10;62381,085;8;14.0 col - IPS Panel Full HD 1920x1080;256GB SSD
4;Notebook;Intel Core i7 6500U 2.5GHz;6;HP;EliteBook 1040;Windows 10;93320,4285;8;14.0 col - Full HD 1920x1080;256GB SSD
1;2 in 1 Convertible;Intel Core i3 6100U 2.3GHz;4;Dell;Inspiron 5568;Windows 10;33325,31534;4;15.6 col - IPS Panel Full HD / Touchscreen 1920x1080;1TB HDD
5;Ultrabook;Intel Core i5 6200U 2.3GHz;11;Toshiba;PortÄ†?gÄ†? Z30-C-16K;Windows 10;66567,735;8;13.3 col - Full HD 1920x1080;256GB SSD
4;Notebook;Intel Core i5 7200U 2.5GHz;6;HP;Spectre 13-V100nv;Windows 10;48104,6085;8;13.3 col - IPS Panel Full HD 1920x1080;256GB SSD
4;Notebook;Intel Core i7 7500U 2.7GHz;6;HP;ProBook 440;Windows 10;49629,8051;8;14.0 col - Full HD 1920x1080;256GB SSD
4;Notebook;Intel Core i5 6300U 2.4GHz;4;Dell;Latitude E5570;Windows 10;43810,78026;8;15.6 col - Full HD 1920x1080;500GB HDD
5;Ultrabook;Intel Core i5 7200U 2.5GHz;6;HP;Elitebook 820;Windows 10;65269,8735;4;12.5 col - 1366x768;256GB SSD
4;Notebook;Intel Core i5 7200U 2.5GHz;6;HP;ProBook 650;Windows 10;49779,2685;4;14.0 col - 1366x768;500GB HDD
4;Notebook;Intel Core i5 7200U 2.5GHz;6;HP;ProBook 640;Windows 10;44378,49;4;14.0 col - 1366x768;500GB HDD
5;Ultrabook;Intel Core i5 7200U 2.5GHz;4;Dell;XPS 13;Windows 10;67991,196;8;13.3 col - Quad HD+ / Touchscreen 3200x1800;256GB SSD
4;Notebook;Intel Core i5 7200U 2.5GHz;6;HP;Probook 470;Windows 10;45215,82;8;17.3 col - Full HD 1920x1080;256GB SSD
